ts,symbol,net24,net7,net30,fee24,closed,wins,profit_factor,avg_pnl,last_trade_side,last_trade_time,last_trade_price,last_trade_qty
2026-03-09 07:26:33,ADAUSDT,-0.20780799,-1.36340874,-1.89502081,0.41658799,29,10,1.00993826,0.00022836,COMPRA,2026-03-09 07:00:04,0.2565,47.3
2026-03-09 07:26:33,BNBUSDT,-0.13896791,-0.13896791,-0.13896791,0.33859791,23,11,1.06576024,0.00129591,VENTA,2026-03-09 06:17:56,627.11,0.018
2026-03-09 07:26:33,BTCUSDT,-0.11508590,-1.83603380,-1.34315647,0.55076180,23,9,1.22932870,0.00733693,COMPRA,2026-03-09 07:00:05,67999.36,0.00033
2026-03-09 07:26:33,ETHUSDT,-0.02709602,-0.89755783,-0.73517186,0.47292102,31,12,1.35933347,0.00691043,COMPRA,2026-03-09 07:00:08,2005.02,0.0065
2026-03-09 07:32:26,ADAUSDT,-0.20711701,-1.36119996,-1.89243513,0.41589701,29,10,1.01042366,0.00023945,COMPRA,2026-03-09 07:00:04,0.2565,47.3
2026-03-09 07:32:26,BNBUSDT,-0.13844686,-0.13844686,-0.13844686,0.33807686,23,11,1.06633496,0.00130689,VENTA,2026-03-09 06:17:56,627.11,0.018
2026-03-09 07:32:26,BTCUSDT,-0.11420970,-1.83385079,-1.34087922,0.54988560,23,9,1.22996398,0.00735539,COMPRA,2026-03-09 07:00:05,67999.36,0.00033
2026-03-09 07:32:26,ETHUSDT,-0.02662201,-0.89637666,-0.73394724,0.47244701,31,12,1.35979570,0.00691791,COMPRA,2026-03-09 07:00:08,2005.02,0.0065
2026-03-09 07:38:18,ADAUSDT,-0.20754447,-1.36253810,-1.89399941,0.41632447,29,10,1.01012268,0.00023257,COMPRA,2026-03-09 07:00:04,0.2565,47.3
2026-03-09 07:38:18,BNBUSDT,-0.13876991,-0.13876991,-0.13876991,0.33839991,23,11,1.06597860,0.00130008,VENTA,2026-03-09 06:17:56,627.11,0.018
2026-03-09 07:38:18,BTCUSDT,-0.11475294,-1.83365589,-1.34063111,0.55042884,23,9,1.22957007,0.00734395,COMPRA,2026-03-09 07:00:05,67999.36,0.00033
2026-03-09 07:38:18,ETHUSDT,-0.02577180,-0.89489399,-0.73242570,0.47159680,31,12,1.36062525,0.00693134,COMPRA,2026-03-09 07:00:08,2005.02,0.0065
2026-03-09 07:44:12,ADAUSDT,-0.20670553,-1.36018136,-1.89126577,0.41548553,29,10,1.01071987,0.00024621,COMPRA,2026-03-09 07:00:04,0.2565,47.3
2026-03-09 07:44:12,BNBUSDT,-0.14612289,-0.14612289,-0.14612289,0.34575289,23,11,1.06668569,0.00131358,COMPRA,2026-03-09 07:40:09,627.47,0.009
2026-03-09 07:44:12,BTCUSDT,-0.11367521,-1.83245195,-1.33941806,0.54935111,23,9,1.23035166,0.00736666,COMPRA,2026-03-09 07:00:05,67999.36,0.00033
2026-03-09 07:44:12,ETHUSDT,-0.02590723,-0.89481860,-0.73233736,0.47173223,31,12,1.36049307,0.00692921,COMPRA,2026-03-09 07:00:08,2005.02,0.0065
2026-03-09 07:50:03,ADAUSDT,-0.20680036,-1.36042797,-1.89155007,0.41558036,29,10,1.01065188,0.00024466,COMPRA,2026-03-09 07:00:04,0.2565,47.3
2026-03-09 07:50:03,BNBUSDT,-0.14619762,-0.14619762,-0.14619762,0.34582762,23,11,1.06660518,0.00131205,COMPRA,2026-03-09 07:40:09,627.47,0.009
2026-03-09 07:50:03,BTCUSDT,-0.11379788,-1.83257867,-1.33954508,0.54947378,23,9,1.23026267,0.00736407,COMPRA,2026-03-09 07:00:05,67999.36,0.00033
